X,Y,Ori,Velo,
-600.00,0.00,0.00,0.00,
-598.12,-0.00,0.00,16.89,
-592.50,-0.00,0.00,22.52,
-585.00,-0.00,0.00,22.52,
-577.50,-0.00,0.00,22.52,
-570.00,-0.00,0.00,22.52,
-562.50,-0.00,0.00,22.52,
-555.00,-0.00,0.00,22.52,
-547.50,-0.00,0.00,22.52,
-540.00,-0.00,0.00,22.52,
-532.50,-0.00,0.00,22.52,
-525.00,-0.00,0.00,22.52,
-517.50,-0.00,0.00,22.52,
-510.00,-0.00,0.00,22.52,
-502.50,-0.00,0.00,22.52,
-495.00,-0.00,0.00,22.52,
-487.50,-0.00,0.00,22.52,
-480.00,-0.00,0.00,22.52,
-472.50,-0.00,0.00,22.52,
-465.00,-0.00,0.00,22.52,
-457.50,-0.00,0.00,22.52,
-450.00,-0.00,0.00,22.52,
-442.50,-0.00,0.00,22.52,
-435.00,-0.00,0.00,22.52,
-427.50,-0.00,0.00,22.52,
-420.00,-0.00,0.00,22.52,
-412.50,-0.00,0.00,22.52,
-405.00,-0.00,0.00,22.52,
-397.50,-0.00,0.00,22.52,
-390.00,-0.00,0.00,22.52,
-382.50,-0.00,0.00,22.52,
-375.00,-0.00,0.00,22.52,
-367.50,-0.00,0.00,22.52,
-360.00,-0.00,0.00,22.52,
-352.50,-0.00,0.00,22.52,
-345.00,-0.00,0.00,22.52,
-337.50,-0.00,0.00,22.52,
-330.00,-0.00,0.00,22.52,
-322.50,-0.00,0.00,22.52,
-315.00,-0.00,0.00,22.52,
-307.50,-0.00,0.00,22.52,
-300.00,-0.00,0.00,22.52,
-292.50,-0.00,0.00,22.52,
-285.00,-0.00,0.00,22.52,
-277.50,-0.00,0.00,22.52,
-270.00,-0.00,0.00,22.52,
-262.50,-0.00,0.00,22.52,
-255.00,-0.00,0.00,22.52,
-247.50,-0.00,0.00,22.52,
-240.00,-0.00,0.00,22.52,
-232.50,-0.00,0.00,22.52,
-225.00,-0.00,0.00,22.52,
-217.50,-0.00,0.00,22.52,
-210.00,-0.00,0.00,22.52,
-202.50,-0.00,0.00,22.52,
-195.00,-0.00,0.00,22.52,
-187.50,-0.00,0.00,22.52,
-180.00,-0.00,0.00,22.52,
-172.50,-0.00,0.00,22.52,
-165.00,-0.00,0.00,22.52,
-157.50,-0.00,0.00,22.52,
-150.00,-0.00,0.00,22.52,
-142.50,-0.00,0.00,22.52,
-135.00,-0.00,0.00,22.52,
-127.50,-0.00,0.00,22.52,
-120.00,-0.00,0.00,22.52,
-112.50,-0.00,0.00,22.52,
-105.00,-0.00,0.00,22.52,
-97.50,-0.00,0.00,22.52,
-90.00,-0.00,0.00,22.52,
-82.50,-0.00,0.00,22.52,
-75.00,-0.00,0.00,22.52,
-67.50,-0.00,0.00,22.52,
-60.00,-0.00,0.00,22.52,
-52.50,-0.00,0.00,22.52,
-45.00,-0.00,0.00,22.52,
-37.50,-0.00,0.00,22.52,
-30.00,-0.00,0.00,22.52,
-22.50,-0.00,0.00,22.52,
-15.00,-0.00,0.00,22.52,
-7.50,-0.00,0.00,22.52,
-0.00,-0.00,0.00,22.52,
