Time,Distance,Theta,LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori
0.000000,400.000000,-2.141593,5.000000,-5.000000,0.000000,0.000000,1.000000
0.000000,400.000000,-2.141593,5.000000,-5.000000,0.000000,0.000000,0.927609
0.333000,400.000000,-2.213984,5.000000,-5.000000,0.000000,0.000000,0.855217
0.666000,400.000000,-2.286375,5.000000,-5.000000,0.000000,0.000000,0.782826
0.999000,400.000000,-2.358767,5.000000,-5.000000,0.000000,0.000000,0.710435
1.332000,400.000000,-2.431158,5.000000,-5.000000,0.000000,0.000000,0.638043
1.665000,400.000000,-2.503549,5.000000,-5.000000,0.000000,0.000000,0.565652
1.998000,400.000000,-2.575940,5.000000,-5.000000,0.000000,0.000000,0.493261
2.331000,400.000000,-2.648332,5.000000,5.000000,1.466521,0.788378,0.493261
2.664000,398.534259,-2.648332,5.000000,-5.000000,1.466521,0.788378,0.420870
2.997000,398.534259,-2.720723,5.000000,-5.000000,1.466521,0.788378,0.348478
3.330000,398.534259,-2.793114,-5.000000,-5.000000,-0.098401,0.219834,0.348478
3.663000,400.098462,-2.793114,-5.000000,-5.000000,-1.663324,-0.348710,0.348478
3.996000,401.663475,-2.793114,5.000000,-5.000000,-1.663324,-0.348710,0.276087
4.329000,401.663475,-2.865506,5.000000,-5.000000,-1.663324,-0.348710,0.203696
4.662000,401.663475,-2.937897,5.000000,-5.000000,-1.663324,-0.348710,0.131304
4.995000,401.663475,-3.010288,5.000000,-5.000000,-1.663324,-0.348710,0.058913
5.328000,401.663475,-3.082680,5.000000,-5.000000,-1.663324,-0.348710,-0.013478
5.661000,401.663475,-3.155071,21.810941,22.282641,5.677591,-0.447659,-0.010064
5.994000,394.322663,-3.151656,20.769629,21.367167,12.693012,-0.518261,-0.005738
6.327000,387.307335,-3.147331,20.557523,21.286723,19.659964,-0.558237,-0.000459
6.660000,380.340445,-3.142052,21.212926,20.751929,26.647112,-0.561445,-0.003796
6.993000,373.353310,-3.145389,21.663016,22.183977,33.947583,-0.589161,-0.000025
7.326000,366.052891,-3.141618,21.440469,20.656165,40.956673,-0.589336,-0.005703
7.659000,359.043811,-3.147295,21.440867,21.969650,48.184406,-0.630554,-0.001875
7.992000,351.816159,-3.143467,22.327376,21.895849,55.547560,-0.644359,-0.004999
8.325000,344.453042,-3.146591,21.100428,21.845108,62.697903,-0.680101,0.000392
8.658000,337.302783,-3.141200,21.657405,21.104899,69.817826,-0.677309,-0.003607
8.991000,330.182869,-3.145200,22.347461,22.369309,77.263120,-0.704168,-0.003449
9.324000,322.737649,-3.145042,21.032495,21.598212,84.361090,-0.728651,0.000646
9.657000,315.639751,-3.140947,20.834123,20.956227,91.319182,-0.724157,0.001530
9.990000,308.681667,-3.140063,21.061559,21.712036,98.440977,-0.713261,0.006239
10.323000,301.559866,-3.135354,21.670279,21.132492,105.567500,-0.668800,0.002346
10.656000,294.433259,-3.139247,20.740150,21.337318,112.573379,-0.652366,0.006669
