Time,Distance,Theta,LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori
0,100,0,21.6,21.6,-700,0,0
0.333,100,0,21.550896,21.198468,-692.882231,0,-0.002551
0.666,92.882231,-0.002551,22.078007,21.059735,-685.69982,-0.018324,-0.009923
0.999,85.699822,-0.009923,21.599812,22.584349,-678.34352,-0.091321,-0.002795
1.332,78.343573,-0.002795,22.368282,21.649675,-671.014558,-0.111809,-0.007998
1.665,71.014647,-0.007998,21.388349,22.953044,-663.631953,-0.170853,0.003329
1.998,63.632182,0.003329,21.727135,20.604553,-656.583766,-0.147386,-0.004797
2.331,56.583958,-0.004797,20.649839,21.637535,-649.542999,-0.181161,0.002353
2.664,49.54333,0.002353,21.960106,21.267361,-642.345646,-0.164226,-0.002662
2.997,42.345964,-0.002662,20.666314,21.649015,-635.300168,-0.18298,0.004452
3.33,35.300643,0.004452,20.667452,22.289072,-628.147978,-0.151138,0.016191
3.663,28.148384,0.016191,21.90035,21.306913,-620.954912,-0.034664,0.011895
3.996,20.95494,0.011895,20.978915,20.254228,-614.090079,0.046998,0.006649
4.329,14.090157,0.006649,20.984482,21.488384,-607.018503,0.094018,0.010297
4.662,7.019133,0.010297,22.64028,19.743167,-599.962033,0.166681,-0.010676
4.995,0.17095,-0.010676,0,0,-599.962033,0.166681,-0.010676
5.328,1.84458,-0.010676,5,-5,-599.962033,0.166681,-0.083067
5.661,1.84458,-0.083067,0,0,-599.962033,0.166681,-0.083067
5.994,7.463895,-0.083067,-5,5,-599.962033,0.166681,-0.010676
6.327,7.463895,-0.010676,22.247903,21.442102,-592.688062,0.089023,-0.016509
6.66,0.208068,-0.016509,0,0,-592.688062,0.089023,-0.016509
6.993,7.688578,-0.016509,20.924489,21.48319,-585.628146,-0.02754,-0.012464
7.326,0.628749,-0.012464,0,0,-585.628146,-0.02754,-0.012464
7.659,8.128193,-0.012464,22.041427,23.029968,-578.124342,-0.121076,-0.005308
7.992,0.635973,-0.005308,0,0,-578.124342,-0.121076,-0.005308
8.325,8.125244,-0.005308,21.399558,21.684044,-570.951023,-0.159154,-0.003249
8.658,0.964248,-0.003249,0,0,-570.951023,-0.159154,-0.003249
8.991,8.452521,-0.003249,20.506125,22.876681,-563.727824,-0.182622,0.013912
9.324,1.241331,0.013912,0,0,-563.727824,-0.182622,0.013912
9.657,8.729734,0.013912,21.661541,22.56968,-556.364038,-0.080171,0.020486
9.99,1.366392,0.020486,0,0,-556.364038,-0.080171,0.020486
10.323,8.864401,0.020486,22.79837,20.540611,-549.149612,0.067645,0.004142
10.656,1.650998,0.004142,0,0,-549.149612,0.067645,0.004142
10.989,9.149862,0.004142,22.071345,21.197444,-541.94542,0.097484,-0.002184
11.322,1.947861,-0.002184,0,0,-541.94542,0.097484,-0.002184
11.655,9.445923,-0.002184,21.274214,21.324998,-534.852668,0.08199,-0.001817
11.988,2.354097,-0.001817,0,0,-534.852668,0.08199,-0.001817
12.321,9.85301,-0.001817,21.654795,21.527443,-527.662838,0.068927,-0.002739
12.654,2.66373,-0.002739,0,0,-527.662838,0.068927,-0.002739
12.987,10.163071,-0.002739,22.188433,22.302744,-520.255084,0.048639,-0.001911
13.32,2.755514,-0.001911,0,0,-520.255084,0.048639,-0.001911
13.653,10.2552,-0.001911,21.286311,20.746234,-513.256678,0.035264,-0.005821
13.986,3.256869,-0.005821,0,0,-513.256678,0.035264,-0.005821
14.319,10.756736,-0.005821,22.079028,22.506024,-505.833393,-0.007947,-0.00273
14.652,3.333403,-0.00273,0,0,-505.833393,-0.007947,-0.00273
14.985,10.833396,-0.00273,20.614508,22.514445,-498.652449,-0.02755,0.011024
15.318,3.652553,0.011024,0,0,-498.652449,-0.02755,0.011024
15.651,11.152483,0.011024,21.430094,21.815317,-491.452526,0.051825,0.013813
15.984,3.952865,0.013813,0,0,-491.452526,0.051825,0.013813
16.317,11.452643,0.013813,22.157434,20.832477,-484.295388,0.150691,0.004221
16.65,4.298031,0.004221,24.177819,20.105894,-476.922216,0.181815,-0.025256
16.983,3.08315,-0.025256,0,0,-476.922216,0.181815,-0.025256
17.316,4.425952,-0.025256,21.66304,20.555912,-469.895002,0.004298,-0.033271
17.649,2.605001,-0.033271,0,0,-469.895002,0.004298,-0.033271
17.982,4.895004,-0.033271,19.760476,22.077056,-462.932908,-0.227421,-0.016501
18.315,2.079564,-0.016501,0,0,-462.932908,-0.227421,-0.016501
18.648,5.437666,-0.016501,-5,5,-462.932908,-0.227421,0.055891
18.981,5.437666,0.055891,22.082132,20.336717,-455.881198,0.167115,0.043255
19.314,1.627405,0.043255,0,0,-455.881198,0.167115,0.043255
19.647,5.883572,0.043255,5,-5,-455.881198,0.167115,-0.029136
19.98,5.883572,-0.029136,21.460933,22.141179,-448.624528,-0.044374,-0.024212
20.313,1.376188,-0.024212,0,0,-448.624528,-0.044374,-0.024212
20.646,6.124689,-0.024212,21.320734,22.949733,-441.255655,-0.222821,-0.012419
20.979,1.264137,-0.012419,0,0,-441.255655,-0.222821,-0.012419
21.312,6.259623,-0.012419,19.208431,23.328585,-434.173789,-0.310775,0.017407
21.645,0.882727,0.017407,0,0,-434.173789,-0.310775,0.017407
21.978,6.68102,0.017407,20.042222,21.858117,-427.198439,-0.18934,0.030553
22.311,0.356074,0.030553,0,0,-427.198439,-0.18934,0.030553
22.644,7.200929,0.030553,20.93647,22.239603,-420.012978,0.030264,0.039986
22.977,0.03293,0.039986,0,0,-420.012978,0.030264,0.039986
23.31,7.513039,0.039986,23.570766,19.091803,-412.915338,0.314225,0.007563
23.643,0.52081,0.007563,0,0,-412.915338,0.314225,0.007563
23.976,7.921573,0.007563,24.16547,20.497099,-405.479233,0.370462,-0.018993
24.309,0.605728,-0.018993,0,0,-405.479233,0.370462,-0.018993
24.642,7.987828,-0.018993,22.629676,20.829731,-398.244547,0.233036,-0.032023
24.975,0.780164,-0.032023,0,0,-398.244547,0.233036,-0.032023
25.308,8.24784,-0.032023,20.714721,21.921541,-391.149249,0.005743,-0.023287
25.641,1.149263,-0.023287,0,0,-391.149249,0.005743,-0.023287
25.974,8.649251,-0.023287,20.079096,22.647012,-384.037281,-0.159903,-0.004697
26.307,1.545574,-0.004697,0,0,-384.037281,-0.159903,-0.004697
26.64,9.038695,-0.004697,20.612282,21.485451,-377.028085,-0.192828,0.001624
26.973,2.037232,0.001624,0,0,-377.028085,-0.192828,0.001624
27.306,9.530036,0.001624,20.97548,22.22983,-369.834411,-0.181149,0.010704
27.639,2.341429,0.010704,0,0,-369.834411,-0.181149,0.010704
27.972,9.836079,0.010704,20.343415,21.029808,-362.946164,-0.107415,0.015673
28.305,2.948121,0.015673,0,0,-362.946164,-0.107415,0.015673
28.638,10.446716,0.015673,21.82237,20.811939,-355.848423,0.003836,0.008358
28.971,3.348425,0.008358,0,0,-355.848423,0.003836,0.008358
29.304,10.848424,0.008358,22.347212,20.959725,-348.63807,0.064103,-0.001686
29.637,3.638635,-0.001686,0,0,-348.63807,0.064103,-0.001686
29.97,11.138254,-0.001686,22.395875,21.076778,-341.399884,0.051899,-0.011235
30.303,3.900229,-0.011235,0,0,-341.399884,0.051899,-0.011235
30.636,11.400002,-0.011235,21.673023,22.130817,-334.107005,-0.030041,-0.007921
30.969,4.107115,-0.007921,21.743376,23.049751,-326.649183,-0.089116,0.001536
31.302,3.352002,0.001536,0,0,-326.649183,-0.089116,0.001536
31.635,4.15014,0.001536,21.252201,22.598332,-319.348078,-0.077902,0.011281
31.968,3.152885,0.011281,0,0,-319.348078,-0.077902,0.011281
32.301,4.348776,0.011281,21.692288,21.769317,-312.112181,0.003728,0.011838
32.634,2.887821,0.011838,0,0,-312.112181,0.003728,0.011838
32.967,4.612183,0.011838,22.962678,20.173416,-304.930525,0.088751,-0.008353
33.3,2.571007,-0.008353,0,0,-304.930525,0.088751,-0.008353
33.633,4.931324,-0.008353,22.882866,20.849071,-297.649411,0.027926,-0.023076
33.966,2.350755,-0.023076,0,0,-297.649411,0.027926,-0.023076
34.299,5.149487,-0.023076,21.218729,22.182022,-290.42511,-0.138814,-0.016103
34.632,2.079528,-0.016103,0,0,-290.42511,-0.138814,-0.016103
34.965,5.426886,-0.016103,20.882738,23.496009,-283.037007,-0.257795,0.002815
35.298,1.979849,0.002815,0,0,-283.037007,-0.257795,0.002815
35.631,5.543005,0.002815,20.605073,23.030243,-275.771756,-0.237344,0.020371
35.964,1.744466,0.020371,0,0,-275.771756,-0.237344,0.020371
36.297,5.776633,0.020371,20.8018,21.692857,-268.697863,-0.093222,0.026821
36.63,1.305469,0.026821,0,0,-268.697863,-0.093222,0.026821
36.963,6.198564,0.026821,21.43081,21.826626,-261.498091,0.099932,0.029687
37.296,1.006881,0.029687,0,0,-261.498091,0.099932,0.029687
37.629,6.498859,0.029687,23.280779,19.79672,-254.328847,0.312826,0.004465
37.962,0.740477,0.004465,0,0,-254.328847,0.312826,0.004465
38.295,6.836009,0.004465,22.528103,20.861417,-247.104564,0.345085,-0.0076
38.628,0.524836,-0.0076,0,0,-247.104564,0.345085,-0.0076
38.961,7.11294,-0.0076,23.885575,19.644269,-239.857055,0.290002,-0.038303
39.294,0.323318,-0.038303,0,0,-239.857055,0.290002,-0.038303
39.627,7.362768,-0.038303,21.429269,20.933853,-232.808769,0.019896,-0.04189
39.96,0.309409,-0.04189,0,0,-232.808769,0.019896,-0.04189
40.293,7.808794,-0.04189,19.488164,22.71089,-225.78879,-0.274342,-0.01856
40.626,0.835137,-0.01856,0,0,-225.78879,-0.274342,-0.01856
40.959,8.293329,-0.01856,20.694085,22.880926,-218.5348,-0.408993,-0.002729
41.292,1.112693,-0.002729,0,0,-218.5348,-0.408993,-0.002729
41.625,8.544594,-0.002729,20.772789,23.308463,-211.195299,-0.429025,0.015627
41.958,1.269961,0.015627,0,0,-211.195299,-0.429025,0.015627
42.291,8.705876,0.015627,20.93337,22.886156,-203.900239,-0.315017,0.029763
42.624,1.435237,0.029763,0,0,-203.900239,-0.315017,0.029763
