Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
0,7.117769,0,0.002551,0,7.117769,1,0,0,-700,0,0,-692.882231,0,-0.002551
0.333,24.64784,-0.001541,0.01072,-0.037976,24.64784,1,-31.129102,-31.018961,-710.347652,0,0.000797,-685.69982,-0.018324,-0.009923
0.666,39.330838,-0.004678,0.005299,-0.183972,39.330838,1,-22.119649,-21.883863,-717.674235,-0.005842,0.002504,-678.34352,-0.091321,-0.002795
0.999,52.623689,0.000654,0.005614,0.034412,52.623689,1,-17.571944,-18.247166,-723.638098,-0.020776,-0.002384,-671.014558,-0.111809,-0.007998
1.332,64.631903,0.002124,0.007946,0.137299,64.631903,1,-13.734897,-14.043378,-728.263168,-0.009751,-0.004617,-663.631953,-0.170853,0.003329
1.665,75.072105,0.008286,0.005532,0.622098,75.072105,1,-9.801179,-10.590174,-731.658292,0.005924,-0.010329,-656.583766,-0.147386,-0.004797
1.998,84.51728,0.012888,0.017749,1.089359,84.51728,1,-6.883828,-7.583861,-734.067033,0.030804,-0.015396,-649.542999,-0.181161,0.002353
2.331,93.365864,0.017564,0.017264,1.640053,93.365864,1,-4.668554,-5.294305,-735.725653,0.056342,-0.019926,-642.345646,-0.164226,-0.002662
2.664,102.073264,0.010686,0.017805,1.09078,102.073264,1,-5.419675,-4.511689,-737.378897,0.089289,-0.013353,-635.300168,-0.18298,0.004452
2.997,109.224391,0.011152,0.029544,1.21812,109.224391,1,0,0,-737.378897,0.089289,-0.013353,-628.147978,-0.151138,0.016191
3.33,114.850856,0.011682,0.024474,1.341746,114.850856,1,4.647679,4.754585,-735.813559,0.068386,-0.012579,-620.954912,-0.034664,0.011895
3.663,119.994276,0.016451,0.023099,1.974249,119.994276,1,5.411802,4.877087,-734.100595,0.046837,-0.01645,-614.090079,0.046998,0.006649
3.996,125.141717,0.017088,0.026755,2.138622,125.141717,1,5.773507,5.772363,-732.178467,0.015215,-0.016458,-607.018503,0.094018,0.010297
4.329,129.693928,0.016762,0.004601,2.174158,129.693928,1,7.440209,7.603437,-729.67404,-0.026007,-0.015277,-599.962033,0.166681,-0.010676
4.662,126.666532,0.021066,0.008505,2.668727,126.666532,1,9.332557,8.793219,-726.65645,-0.072109,-0.019181,-599.962033,0.166681,-0.010676
4.995,124.054,0.021592,0.063803,2.67903,124.054,1,7.850511,7.839037,-724.044621,-0.122213,-0.019264,-599.962033,0.166681,-0.083067
5.328,121.821895,0.017146,0.068647,2.088993,121.821895,1,6.403149,7.072243,-721.801385,-0.165432,-0.01442,-599.962033,0.166681,-0.083067
5.661,119.631183,0.0224,0.008686,2.680172,119.631183,1,6.884627,6.202028,-719.622683,-0.196852,-0.019362,-599.962033,0.166681,-0.010676
5.994,124.962188,0.011758,0.007345,1.469336,124.962188,1,5.235751,6.644433,-717.645003,-0.235149,-0.009164,-592.688062,0.089023,-0.016509
