Time, R_x, R_y, R_Ori, KF_x, KF_y, KF_Ori, KF_q, KF_alpha
0.666000, 0.676773, 566.641219, 0.001050, 1.767848, 574.985690, 0.002975, -0.022874, -0.005875
0.999000, -1.371367, 549.926403, -0.002674, -0.173599, 559.949890, 0.000275, -0.437858, -0.491009
1.332000, -1.774083, 533.149837, -0.003430, -1.200755, 543.460998, -0.063583, -0.422564, -0.424038
1.665000, -0.246218, 516.402217, -0.000471, -0.262444, 526.649847, -0.161088, 2.153128, -0.014333
1.998000, 1.008710, 499.804289, 0.002040, 1.425970, 509.789096, -0.165381, 5.711727, 0.980335
2.331000, 0.909651, 483.167497, 0.001835, 2.034724, 493.157571, -0.725367, 6.908982, -2.116975
2.664000, 0.583715, 466.425152, 0.001136, 1.618428, 473.057350, -3.607928, 2.945415, -8.639919
2.997000, 0.944344, 449.680447, 0.001938, 2.497770, 457.359227, -3.690177, 12.318057, -9.837608
3.330000, 0.273586, 433.109296, 0.000389, -2.105471, 438.741634, -2.690928, 30.369309, -7.799101
3.663000, 0.112762, 416.448405, 0.000003, 0.642272, 421.510548, -3.655639, 43.965726, -13.034399
3.996000, -1.884184, 399.830053, -0.004991, -1.188702, 399.857965, -2.774249, 44.376515, -7.321232
4.329000, -0.794415, 383.177728, -0.002147, -1.600804, 382.948837, -1.865541, 44.411914, -2.814303
4.662000, 0.176812, 366.527270, 0.000502, -1.619469, 366.192900, -1.993433, 45.188136, -6.342601
4.995000, -1.150452, 349.834110, -0.003292, -6.477632, 350.350596, -0.828665, 41.086920, 0.342229
5.328000, -2.844109, 333.236977, -0.008374, -2.652450, 334.110264, 0.149958, 40.580885, 3.779151
5.661000, -2.291725, 316.642544, -0.006630, -3.523790, 318.227458, -0.774228, 43.129825, 3.487953
5.994000, -2.172155, 300.003020, -0.006231, -2.542340, 300.792023, -0.057034, 41.298078, 0.730584
6.327000, -3.980218, 283.334891, -0.012612, -1.506978, 286.305283, -1.009860, 34.080671, -6.671318
6.660000, -4.960086, 266.612903, -0.016287, -4.998530, 266.786024, -1.725093, 34.192806, -6.743799
6.993000, -4.388282, 250.223174, -0.014002, -5.065193, 251.185024, -0.960226, 28.687059, -1.269186
7.326000, -3.866976, 235.324264, -0.011787, -3.760075, 236.124641, -0.301853, 26.761583, 1.278494
7.659000, -5.068918, 221.910189, -0.017203, -4.927973, 226.183579, 0.529664, 32.525532, 0.945241
7.992000, -5.004971, 209.860200, -0.016898, -1.504466, 211.193251, -1.056862, 24.362326, -3.395177
8.325000, -4.348309, 198.966352, -0.013598, -3.864682, 199.862319, -1.090540, 22.100879, -4.253507
8.658000, -3.330071, 189.289161, -0.008217, -3.358010, 189.313704, -1.076224, 21.719750, -3.497762
8.991000, -2.397582, 180.482995, -0.003050, -2.496329, 180.511882, -0.943070, 21.312015, -2.413864
9.324000, -2.285403, 172.485772, -0.002400, -1.865040, 172.686045, -0.841771, 22.722093, -1.977467
9.657000, -2.299095, 165.323830, -0.002483, -2.058567, 165.776993, -0.592905, 24.083716, -1.372214
9.990000, -2.348352, 158.926467, -0.002793, -2.203176, 159.458083, -0.296294, 25.370691, -1.513443
10.323000, -2.601962, 153.059993, -0.004450, -2.520884, 153.050009, -0.050764, 25.911390, -1.342825
10.656000, -2.991374, 147.772138, -0.007085, -2.687978, 147.409750, 0.151185, 25.421084, -1.161389
10.989000, -1.884878, 143.077335, 0.000649, -1.270063, 142.618933, 0.274069, 24.324144, -0.430832
11.322000, -1.942748, 138.791527, 0.000232, -0.342033, 138.411876, 0.479289, 20.673731, -0.108629
11.655000, -1.542893, 134.932126, 0.003195, 0.546837, 135.772618, -0.402352, 15.982553, -2.836146
11.988000, -1.094585, 131.421665, 0.006606, 0.366284, 131.675568, -0.434130, 12.819591, -1.497039
12.321000, -1.446163, 128.224157, 0.003864, -1.347746, 128.691712, -0.309484, 13.134128, -1.216673
12.654000, -2.140207, 125.455851, -0.001668, -1.701518, 125.327284, 0.018233, 12.917518, -0.880238
12.987000, -1.749674, 122.949862, 0.001509, -1.125932, 122.935417, 0.163519, 12.487345, -0.922474
13.320000, -1.762325, 120.655617, 0.001404, -0.570219, 120.911413, 0.052327, 10.426697, -2.451878
13.653000, -2.246416, 118.643402, -0.002676, -1.078939, 118.290832, -0.043555, 8.098048, -2.264078
13.986000, -1.075413, 116.769695, 0.007352, -1.014117, 116.648018, -0.191494, 7.442744, -1.480010
14.319000, -1.555072, 115.169546, 0.003187, -1.321379, 115.015885, -0.054192, 7.484895, -0.883893
14.652000, -1.652967, 113.617422, 0.002326, -1.216453, 113.585296, 0.083489, 7.365588, -0.845635
14.985000, -2.102280, 111.960135, -0.001688, -1.292568, 112.119700, 0.103045, 6.158119, -1.464683
15.318000, -1.643338, 110.356062, 0.002471, -1.066378, 110.480909, 0.044036, 5.647287, -1.126618
15.651000, -1.289171, 108.684196, 0.005730, -0.843167, 108.864405, 0.075001, 5.001473, -1.705843
15.984000, -0.939787, 106.953623, 0.008997, -0.653302, 107.071958, 0.031192, 5.098517, -1.749351
16.317000, -1.252310, 105.326626, 0.006029, -0.948862, 105.356831, 0.027091, 4.417152, -1.059103
16.650000, -0.934987, 103.629030, 0.009092, -0.668585, 103.899066, 0.058866, 4.014496, -0.619538
16.650000, -0.869734, 110.806404, 0.010182, -0.472139, 108.744081, -0.184577, 1.916657, 0.190449
16.983000, -1.385608, 116.541734, 0.003582, -0.894153, 114.536366, -0.444152, -0.606092, 1.246775
17.316000, -1.810565, 122.128728, 0.001396, -1.697314, 119.465186, 0.071535, -1.528818, 2.550836
17.649000, -1.262456, 126.779963, 0.006113, -1.463691, 123.965716, 0.153756, -0.740405, 2.378115
17.982000, -1.449177, 131.195134, 0.003835, -1.608163, 128.968279, 0.075881, 2.748035, 1.878030
18.315000, -0.685749, 135.322105, -0.002936, -0.663730, 133.650086, 0.094650, 5.571335, 1.586042
18.648000, -1.269980, 138.727544, 0.000427, -0.636494, 137.556644, 0.730002, 6.697449, 1.752364
18.981000, -1.512417, 142.204525, -0.003554, -1.126372, 141.632214, 0.929814, 7.310261, 1.316146
19.314000, -1.600629, 145.077766, 0.005850, -1.265500, 144.742869, 0.760806, 7.890293, 1.465622
19.647000, -1.730555, 147.798871, 0.005605, -1.437292, 147.558162, 0.729607, 8.483286, 1.727377
19.980000, -1.302959, 150.449570, 0.006197, -1.107093, 150.327760, 0.691723, 8.871673, 1.880777
20.313000, -1.595346, 152.708385, 0.013811, -1.409747, 152.716447, 0.734166, 8.438384, 1.873706
20.646000, -0.997777, 154.631188, 0.021239, -0.863686, 154.764012, 0.673082, 8.684346, 1.043552
20.979000, -0.545163, 156.441749, 0.022891, -0.334035, 156.570535, 0.602473, 8.383994, 0.918487
21.312000, -1.380864, 157.979786, 0.000651, -0.829033, 158.245739, 0.685839, 7.508281, 1.394445
21.645000, -1.448328, 152.309928, 0.000208, -0.473663, 154.373526, 0.284261, 3.171810, 0.699398
21.978000, -0.966206, 147.081787, -0.068905, -0.536285, 149.221098, 0.133830, -0.803591, -0.146169
22.311000, -0.650168, 142.393814, -0.066685, -0.783367, 144.461614, -0.454690, -3.525814, -0.895785
22.644000, -1.032203, 145.405902, -0.041952, -1.250498, 145.318890, -0.261904, -3.533563, -0.549572
22.977000, -0.644217, 140.839543, -0.039198, -1.142612, 142.415021, -0.243912, -1.620408, -0.024535
23.310000, -1.278511, 136.817053, 0.028559, -1.337917, 138.520609, -0.197424, 0.726116, 0.707285
23.643000, -0.734599, 140.324442, 0.037582, -0.891955, 139.675986, 0.039019, 0.982073, 0.133552
23.976000, -1.131261, 136.305625, 0.034672, -0.954257, 137.584831, -0.026015, 0.785454, -0.340599
24.309000, -1.137188, 139.951431, 0.021821, -1.006909, 139.045350, -0.004186, 0.826659, -0.559766
24.642000, -0.872467, 135.990305, 0.023767, -0.784449, 137.114092, -0.002317, 0.799909, -0.631480
24.975000, -0.392887, 139.671726, 0.019695, -0.488447, 138.704102, -0.050459, 0.097519, -0.037508
25.308000, -0.998928, 135.705091, 0.015229, -0.768847, 136.840528, -0.014296, 0.610718, -0.090874
25.641000, -0.804475, 139.150299, 0.000041, -0.763497, 138.274129, 0.003222, 0.359999, 0.396257
25.974000, -1.297594, 135.136769, -0.003608, -1.100946, 136.333998, -0.011604, 0.494819, 0.501067
26.307000, -1.066274, 138.931956, -0.008473, -0.988146, 137.956477, 0.118291, 0.202115, 0.470562
26.640000, -0.879292, 134.874354, -0.007087, -0.951543, 136.041167, 0.053865, -0.562630, -0.117747
26.973000, -1.625448, 138.717113, -0.029895, -1.418021, 137.698859, -0.022922, -0.513217, -0.270976
27.306000, -1.560063, 134.825499, -0.029410, -1.586501, 135.923495, -0.043412, -0.944978, -0.477916
27.639000, -1.964527, 138.660613, -0.031672, -1.978881, 137.647578, -0.063768, -1.326126, -0.804407
27.972000, -1.967075, 141.846219, -0.030166, -2.189834, 140.329469, -0.070140, -1.371521, -0.756468
28.305000, -1.333153, 137.684909, -0.025561, -1.634244, 138.635702, -0.118966, -0.017722, 0.058043
28.638000, -1.287484, 140.993222, -0.006876, -1.466326, 140.123759, -0.044514, -0.768622, -0.201605
28.971000, -1.598315, 136.755705, -0.009149, -1.576416, 138.029940, -0.007971, -0.599074, 0.227991
29.304000, -1.004606, 133.188345, 0.067700, -1.163833, 135.006412, 0.129949, 0.444174, 0.606762
