Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
0.333,583.330161,0.004901,0.004901,2.858922,583.330161,0,50.419126,49.742103,-683.323155,160,-0.004901,-100,160,0
0.666,566.641219,0.001194,0.00105,0.676773,566.641219,0,49.831462,50.36343,-666.640906,159.918239,-0.00105,-100,160,0
0.999,549.926403,-0.002494,-0.002674,-1.371367,549.926403,0,49.942396,50.456877,-649.924436,159.900685,0.002674,-100,160,0
1.332,533.149837,-0.003328,-0.00343,-1.774083,533.149837,0,50.331599,50.435942,-633.146701,159.945555,0.00343,-100,160,0
1.665,516.402217,-0.000477,-0.000471,-0.246218,516.402217,0,50.488556,50.079852,-616.40216,160.002983,0.000471,-100,160,0
1.998,499.804289,0.002018,0.00204,1.00871,499.804289,0,50.020005,49.673162,-599.803249,160.010802,-0.00204,-100,160,0
2.331,483.167497,0.001883,0.001835,0.909651,483.167497,0,49.945601,49.973922,-583.166683,159.976866,-0.001835,-100,160,0
2.664,466.425152,0.001251,0.001136,0.583715,466.425152,0,50.227592,50.324122,-566.424851,159.946148,-0.001136,-100,160,0
2.997,449.680447,0.0021,0.001938,0.944344,449.680447,0,50.341456,50.230674,-549.679602,159.927125,-0.001938,-100,160,0
3.33,433.109296,0.000632,0.000389,0.273586,433.109296,0,49.653905,49.86784,-533.109263,159.895012,-0.000389,-100,160,0
3.663,416.448405,0.000271,0.000003,0.112762,416.448405,0,50.005936,50.059282,-516.448405,159.888526,-0.000003,-100,160,0
3.996,399.830053,-0.004712,-0.004991,-1.884184,399.830053,0,49.574953,50.264885,-499.825072,159.888475,0.004991,-100,160,0
4.329,383.177728,-0.002073,-0.002147,-0.794415,383.177728,0,50.191733,49.798868,-483.176845,159.971574,0.002147,-100,160,0
4.662,366.52727,0.000482,0.000502,0.176812,366.52727,0,50.181997,49.815958,-466.527223,160.007328,-0.000502,-100,160,0
4.995,349.83411,-0.003289,-0.003292,-1.150452,349.83411,0,49.873119,50.397214,-449.832215,159.99894,0.003292,-100,160,0
5.328,333.236977,-0.008535,-0.008374,-2.844109,333.236977,0,49.519868,50.221946,-433.225293,160.053604,0.008374,-100,160,0
5.661,316.642544,-0.007237,-0.00663,-2.291725,316.642544,0,49.941176,49.700201,-416.635586,160.19253,0.00663,-100,160,0
5.994,300.00302,-0.00724,-0.006231,-2.172155,300.00302,0,49.993759,49.938704,-399.997196,160.302837,0.006231,-100,160,0
6.327,283.334891,-0.014047,-0.012612,-3.980218,283.334891,1,49.5141,50.395596,-383.362555,160.40649,0.012612,-100,160,0
6.66,266.612903,-0.018602,-0.016287,-4.960086,266.612903,1,49.913007,50.420682,-366.658324,160.61718,0.016287,-100,160,0
6.993,250.223174,-0.017536,-0.014002,-4.388282,250.223174,1,49.408323,49.092646,-350.260088,160.884288,0.014002,-100,160,0
7.326,235.324264,-0.016431,-0.011787,-3.866976,235.324264,1,44.92194,44.615921,-335.353496,161.093027,0.011787,-100,160,0
7.659,221.910189,-0.022838,-0.017203,-5.068918,221.910189,1,39.835758,40.583919,-321.96455,161.250849,0.017203,-100,160,0
7.992,209.8602,-0.023845,-0.016898,-5.004971,209.8602,1,36.211808,36.169715,-309.914809,161.45816,0.016898,-100,160,0
8.325,198.966352,-0.021851,-0.013598,-4.348309,198.966352,1,32.988575,32.532651,-299.007083,161.642499,0.013598,-100,160,0
8.658,189.289161,-0.017591,-0.008217,-3.330071,189.289161,1,29.576491,28.833181,-289.282771,161.774736,0.008217,-100,160,0
8.991,180.482995,-0.013283,-0.00305,-2.397582,180.482995,1,26.786014,26.072326,-280.482155,161.84705,0.00305,-100,160,0
9.324,172.485772,-0.013249,-0.0024,-2.285403,172.485772,1,24.059686,23.969846,-272.485275,161.871444,0.0024,-100,160,0
9.657,165.32383,-0.013906,-0.002483,-2.299095,165.32383,1,21.501712,21.513153,-265.323321,161.888632,0.002483,-100,160,0
9.99,158.926467,-0.014775,-0.002793,-2.348352,158.926467,1,19.190286,19.233099,-258.925847,161.904516,0.002793,-100,160,0
10.323,153.059993,-0.016998,-0.00445,-2.601962,153.059993,1,17.505354,17.73424,-253.058477,161.920902,0.00445,-100,160,0
10.656,147.772138,-0.02024,-0.007085,-2.991374,147.772138,1,15.704178,16.068199,-247.768429,161.944441,0.007085,-100,160,0
10.989,143.077335,-0.013173,0.000649,-1.884878,143.077335,1,14.621954,13.553672,-243.077305,161.977677,-0.000649,-100,160,0
