Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
0.333,689.037491,-0.005538,0.014952,-3.815979,689.037491,0,49.657353,50.332636,-683.351667,0,0.004888,5.677591,-0.447659,-0.010064
0.666,672.507925,-0.006603,0.015882,-4.440895,672.507925,0,49.584201,49.712561,-666.818953,0.08082,0.005818,5.677591,-0.447659,-0.010064
0.999,655.79874,-0.009419,0.018529,-6.177357,655.79874,0,50.03209,50.397855,-650.097651,0.178101,0.008465,5.677591,-0.447659,-0.010064
1.332,639.04129,-0.016583,0.025448,-10.59832,639.04129,0,49.51355,50.469207,-633.451118,0.319025,0.015384,5.677591,-0.447659,-0.010064
1.665,622.390336,-0.013275,0.021695,-8.26248,622.390336,0,50.368374,49.849925,-616.766746,0.575711,0.011631,5.677591,-0.447659,-0.010064
1.998,605.659204,-0.016812,0.024866,-10.183191,605.659204,0,49.936781,50.374844,-600.06599,0.769958,0.014802,5.677591,-0.447659,-0.010064
2.331,589.038777,-0.020473,0.028053,-12.060834,589.038777,0,49.584567,50.024888,-583.482832,1.015435,0.017989,5.677591,-0.447659,-0.010064
2.664,572.481951,-0.017629,0.024616,-10.093295,572.481951,0,50.071917,49.59714,-566.890619,1.313949,0.014552,5.677591,-0.447659,-0.010064
2.997,555.874807,-0.014619,0.021078,-8.126703,555.874807,0,50.212455,49.723731,-550.253006,1.556081,0.011014,5.677591,-0.447659,-0.010064
3.33,539.248991,-0.016125,0.022135,-8.696291,539.248991,0,49.827738,49.973647,-533.637084,1.739102,0.012071,5.677591,-0.447659,-0.010064
3.663,522.610055,-0.020893,0.02639,-10.920469,522.610055,0,49.547487,50.135365,-517.041098,1.939435,0.016326,5.677591,-0.447659,-0.010064
3.996,505.951286,-0.022706,0.027516,-11.490099,505.951286,0,49.910688,50.06621,-500.397163,2.211193,0.017452,5.677591,-0.447659,-0.010064
4.329,489.250867,-0.021431,0.025466,-10.48684,489.250867,0,50.360714,50.077441,-483.676757,2.50303,0.015402,5.677591,-0.447659,-0.010064
4.662,472.583247,-0.022942,0.026221,-10.84381,472.583247,0,49.976547,50.080889,-467.01917,2.759602,0.016157,5.677591,-0.447659,-0.010064
4.995,455.925961,-0.02386,0.026301,-10.880273,455.925961,0,50.013749,50.024796,-450.364926,3.028706,0.016237,5.677591,-0.447659,-0.010064
5.328,439.267021,-0.020792,0.022326,-9.134489,439.267021,0,50.420804,49.871776,-433.668412,3.299829,0.012262,5.677591,-0.447659,-0.010064
5.661,422.678947,-0.0185,0.019216,-7.820269,422.678947,0,50.322993,49.893292,-416.983655,3.504434,0.009152,5.677591,-0.447659,-0.010064
5.994,406.08352,-0.01814,0.0181,-7.367279,406.08352,0,49.901471,49.747383,-400.392816,3.656272,0.008036,5.677591,-0.447659,-0.010064
6.327,389.423774,-0.019162,0.018347,-7.463211,389.423774,0,50.014603,50.048631,-383.732825,3.790159,0.008283,5.677591,-0.447659,-0.010064
6.66,372.695275,-0.020822,0.019147,-7.761369,372.695275,0,50.188253,50.298761,-367.002311,3.928734,0.009083,5.677591,-0.447659,-0.010064
6.993,356.09708,-0.017396,0.014748,-6.195115,356.09708,0,50.115833,49.508271,-350.415582,4.079387,0.004684,5.677591,-0.447659,-0.010064
7.326,339.377248,-0.014897,0.011392,-5.056192,339.377248,0,50.431211,49.967635,-333.699358,4.157692,0.001328,5.677591,-0.447659,-0.010064
7.659,322.738624,-0.013354,0.009081,-4.310161,322.738624,0,50.125111,49.805795,-317.060877,4.179795,-0.000983,5.677591,-0.447659,-0.010064
